1 0 0 0     (1/10000) 0.01%
2 0 0 0     (2/10000) 0.02%
2 0 1 0     (3/10000) 0.03%
2 0 2 0     (4/10000) 0.04%
2 0 3 0     (5/10000) 0.05%
2 0 4 0     (6/10000) 0.06%
2 0 5 0     (7/10000) 0.06999999999999999%
2 0 6 0     (8/10000) 0.08%
2 0 7 0     (9/10000) 0.09%
2 0 8 0     (10/10000) 0.1%
2 0 9 0     (11/10000) 0.11%
2 0 10 0     (12/10000) 0.12%
2 0 11 0     (13/10000) 0.13%
2 0 12 0     (14/10000) 0.13999999999999999%
2 0 13 0     (15/10000) 0.15%
2 0 14 0     (16/10000) 0.16%
2 1 14 0     (17/10000) 0.16999999999999998%
2 2 14 0     (18/10000) 0.18%
3 2 14 0     (19/10000) 0.19%
dns.resolver.NoAnswer: The DNS response does not contain an answer to the question: office.com. IN MX
3 2 14 1     (20/10000) 0.2%
3 2 15 1     (21/10000) 0.21%
dns.resolver.NoAnswer: The DNS response does not contain an answer to the question: zhanqi.tv. IN MX
3 2 15 2     (22/10000) 0.22%
3 2 16 2     (23/10000) 0.22999999999999998%
4 2 16 2     (24/10000) 0.24%
4 2 17 2     (25/10000) 0.25%
5 2 17 2     (26/10000) 0.26%
6 2 17 2     (27/10000) 0.27%
7 2 17 2     (28/10000) 0.27999999999999997%
dns.resolver.NoAnswer: The DNS response does not contain an answer to the question: myshopify.com. IN MX
7 2 17 3     (29/10000) 0.29%
7 3 17 3     (30/10000) 0.3%
7 3 18 3     (31/10000) 0.31%
7 3 19 3     (32/10000) 0.32%
7 3 20 3     (33/10000) 0.33%
7 3 21 3     (34/10000) 0.33999999999999997%
7 3 22 3     (35/10000) 0.35000000000000003%
7 3 23 3     (36/10000) 0.36%
7 3 24 3     (37/10000) 0.37%
8 3 24 3     (38/10000) 0.38%
8 4 24 3     (39/10000) 0.38999999999999996%
8 5 24 3     (40/10000) 0.4%
8 5 25 3     (41/10000) 0.41000000000000003%
8 5 26 3     (42/10000) 0.42%
8 5 27 3     (43/10000) 0.43%
